"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2157763","Daniel J. Rea and James E. Young and Pourang  Irani","","","","The Roomba Mood Ring: An Ambient-display Robot","217--218","","2","ambient displays, group-robot interaction, human-robot interaction, sociable robotics","10.1145/2157689.2157763","","","","","","","2012","","Proceedings of the Seventh Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '12","","978-1-4503-1063-5","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","3038359","Daniela  Conti and Alessandro  Di Nuovo and Carla  Cirasa and Santo  Di Nuovo","","","","A Comparison of Kindergarten Storytelling by Human and Humanoid Robot with Different Social Behavior","97--98","","2","human-robot interaction, humanoid robot, kindergarten, social robot, storytelling","10.1145/3029798.3038359","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","2141501","Patricia A. Vargas and Ylva  Fernaeus and Mei Yii Lim and Sibylle  Enz and Wan Chin Ho and Mattias  Jacobsson and Ruth  Ayllet","","","","Advocating an Ethical Memory Model for Artificial Companions from a Human-centred Perspective","329--337","","9","Artificial companions, Ethics, Memory modelling, Privacy, Robots","10.1007/s00146-010-0313-3","AI Soc.","November 2011","26","4","","November","2011","0951-5666","","","","","","Springer-Verlag","London, UK, UK"
"article","1514104","Victoria  Groom and Leila  Takayama and Paloma  Ochi and Clifford  Nass","","","","I Am My Robot: The Impact of Robot-building and Robot Form on Operators","31--36","","6","anthropomorphism, human-robot interaction, humanoid robots, robot form, robot personality, robots, self, self extension","10.1145/1514095.1514104","","","","","","","2009","","Proceedings of the 4th ACM/IEEE International Conference on Human Robot Interaction","HRI '09","","978-1-60558-404-1","La Jolla, California, USA","ACM","New York, NY, USA"
"article","2445497","Julian  Mason and Zachary  Dodds and William D. Smart","","","","ROS at Every Level: Using the Robot Operating System in CS 0, 1, 2, and Beyond (Abstract Only)","757--757","","1","CS0, CS1, CS2, ROS, robotics, robotics curricula","10.1145/2445196.2445497","","","","","","","2013","","Proceeding of the 44th ACM Technical Symposium on Computer Science Education","SIGCSE '13","","978-1-4503-1868-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","1957776","Hyunmin  Yoon","","","","A Relation Between Young Children's Computer Utilization and Their Use of Education Robots","291--292","","2","computer utilization, education robot, robot utilization","10.1145/1957656.1957776","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","1845072","Irit  Dinur and Or  Meir","","","","Derandomized Parallel Repetition of Structured PCPs","16--27","","12","PCP, Low error, de-Bruijn, Direct Product, Direct Product Test, Derandomized Parallel Repetition","10.1109/CCC.2010.11","","","","","","","2010","","Proceedings of the 2010 IEEE 25th Annual Conference on Computational Complexity","CCC '10","","978-0-7695-4060-3","","IEEE Computer Society","Washington, DC, USA"
"book","2683871","  Air Command and General Staff College","","","","","","","","","","","","","","","","2014","","The Spectrum of Cyber Conflict from Hacking to Information Warfare: What is Law","","","1500207918, 9781500207915","","CreateSpace Independent Publishing Platform","USA"
"article","2598396","Dario  Floreano","","","","Bridging Natural and Artificial Evolution","3--4","","2","evolutionary computation, robotics","10.1145/2598394.2598396","","","","","","","2014","","Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation","GECCO Comp '14","","978-1-4503-2881-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2563683","Maartje M.A. de Graaf and Somaya  Ben Allouch","","","","Users' Preferences of Robots for Domestic Use","146--147","","2","anxiety towards robots, attitude towards robots, design preferences, domestic robots","10.1145/2559636.2563683","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","2982448","Irit  Dinur and Or  Meir","","","","Toward the KRW Composition Conjecture: Cubic Formula Lower Bounds via Communication Complexity","3:1--3:51","3","51","KRW composition conjecture, communication complexity, formula lower bounds, karchmer-wigderson games","","","","","","","","2016","","Proceedings of the 31st Conference on Computational Complexity","CCC '16","","978-3-95977-008-8","Tokyo, Japan","Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik","Germany"
"article","3038336","Sam  Thellman and Tom  Ziemke","","","","Social Attitudes Toward Robots Are Easily Manipulated","299--300","","2","anthropomorphism, attitudes toward robots, social robotics","10.1145/3029798.3038336","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","2447628","Chun Fui  Liew and Takehisa  Yairi","","","","Quadrotor or Blimp?: Noise and Appearance Considerations in Designing Social Aerial Robot","183--184","","2","aerial robot, animal-like, appearance, human factor, interaction., noise, safety, social robot, unmanned aerial vehicle","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2069431","Krzysztof  Walas and Dominik  Belter","","","","Supporting Locomotive Functions of a Six-legged Walking Robot","363--377","","15","Foothold Placement, Robotics, Static Stability, Walking Robots","10.2478/v10006-011-0027-9","Int. J. Appl. Math. Comput. Sci.","Number 2 / June 2011","21","2","","June","2011","1641-876X","","","","","","Versita","Warsaw, Poland, Poland"
"article","2569314","Keisuke  Yoneda and Chihiro  Kato and Toshiharu  Sugawara","","","","Autonomous Learning of Target Decision Strategies Without Communications for Continuous Coordinated Cleaning Tasks","216--223","","8","multi-robot sweeping, coordination, learning, robot patrolling","10.1109/WI-IAT.2013.112","","","","","","","2013","","Proceedings of the 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT) - Volume 02","WI-IAT '13","","978-0-7695-5145-6","","IEEE Computer Society","Washington, DC, USA"
"article","1021159","S. H. Or and K. H. Wong and Michael M.  Y. Chang and C. Y. Ip","","","","Large Scene Reconstruction with Local Details Recovery","44--47","","4","","10.1109/ICPR.2004.527","","","","","","","2004","","Proceedings of the Pattern Recognition, 17th International Conference on (ICPR'04) Volume 4 - Volume 04","ICPR '04","","0-7695-2128-2","","IEEE Computer Society","Washington, DC, USA"
"article","2158899","Alexandre Da Sim&#245;es and Esther Luna Colombini and Jackson Paul Matsuura and Marcelo Nicoletti Franchin","","","","TORP: The Open Robot Project","3--22","","20","Collaborative robots, Module-based robots, Open Robot Project, Robotics design framework, Standardization in robotics","10.1007/s10846-011-9626-9","J. Intell. Robotics Syst.","April     2012","66","1-2","","April","2012","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","3020246","Daniel J. Rea and Stela H. Seo and Neil  Bruce and James E. Young","","","","Movers, Shakers, and Those Who Stand Still: Visual Attention-grabbing Techniques in Robot Teleoperation","398--407","","10","attention, human-robot interaction, multi-robot teleoperation","10.1145/2909824.3020246","","","","","","","2017","","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4336-7","Vienna, Austria","ACM","New York, NY, USA"
"article","1132402","Noa  Agmon and David  Peleg","","","","Fault-Tolerant Gathering Algorithms for Autonomous Mobile Robots","56--82","","27","autonomous mobile robots, convergence, robot swarms","10.1137/050645221","SIAM J. Comput.","2006","36","1","","July","2006","0097-5397","","","","","","Society for Industrial and Applied Mathematics","Philadelphia, PA, USA"
"article","2893767","Hauke  Petersen and Cedric  Adjih and Oliver  Hahm and Emmanuel  Baccelli","","","","Demo: IoT Meets Robotics - First Steps, RIOT Car, and Perspectives","269--270","","2","Cloud Computing, IoT, Robotics","","","","","","","","2016","","Proceedings of the 2016 International Conference on Embedded Wireless Systems and Networks","EWSN '16","","978-0-9949886-0-7","Graz, Austria","Junction Publishing","USA"
"article","1734542","Eunja  Hyun and Hyunmin  Yoon and Sooryun  Son","","","","Relationships Between User Experiences and Children's Perceptions of the Education Robot","199--200","","2","education robot, perception of robot, user experience","","","","","","","","2010","","Proceedings of the 5th ACM/IEEE International Conference on Human-robot Interaction","HRI '10","","978-1-4244-4893-7","Osaka, Japan","IEEE Press","Piscataway, NJ, USA"
"article","976312","B.  Bartlett and V.  Estivill-Castro and S.  Seymon","","","","Dogs or Robots: Why Do Children See Them As Robotic Pets Rather Than Canine Machines?","7--14","","8","human attitudes, multi-modal interfaces, robots, zoo-morphological autonomous mobile robots","","","","","","","","2004","","Proceedings of the Fifth Conference on Australasian User Interface - Volume 28","AUIC '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1318648","Paul  Chatellier and Patrick  Tortelier and and Emmanuel Boutillon","","","","Toward a Hardware Real Time SIMO Channel Emulator","10--","","","","","","","","","","","2007","","Proceedings of the Third IEEE International Conference on Wireless and Mobile Computing, Networking and Communications","WIMOB '07","","0-7695-2889-9","","IEEE Computer Society","Washington, DC, USA"
"article","2148527","Oded  Goldreich and Or  Meir","","","","The Tensor Product of Two Good Codes is Not Necessarily Robustly Testable","351--355","","5","Locally testable codes, Product code, Robust, Robustness, Tensor product, Theory of computation","10.1016/j.ipl.2012.01.007","Inf. Process. Lett.","April, 2012","112","8-9","","April","2012","0020-0190","","","","","","Elsevier North-Holland, Inc.","Amsterdam, The Netherlands, The Netherlands"
"article","610704","G.  Rodriguez and C. R. Weisbin","","","","A New Method to Evaluate Human-Robot System Performance","165--178","","14","analysis, human-robot systems, performance, robotics","10.1023/A:1022279618991","Auton. Robots","March-May 2003","14","2-3","","March","2003","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","3038419","Stephan  Hammer and Kim  Kirchner and Elisabeth  Andr&#233; and Birgit  Lugrin","","","","Touch or Talk?: Comparing Social Robots and Tablet PCs for an Elderly Assistant Recommender System","129--130","","2","acceptance, elderly assistant, social robot, tablet pc","10.1145/3029798.3038419","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","2907010","Tariq  Iqbal and Laurel D. Riek","","","","Human Coordination Dynamics with Heterogeneous Robots in a Team","619--620","","2","human-robot interaction, human-robot teams, robotics, synchronous joint action","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"book","2829365","Anis  Koubaa and Elhadi  Shakshuki","","","","","","","","","","","","","","","","2015","","Robots and Sensor Clouds","","1st","3319221671, 9783319221670","","Springer Publishing Company, Incorporated",""
"article","2779513","Elizabeth A.  Thompson and Charles  McIntosh and James  Isaacs and Eric  Harmison and Ross  Sneary","","","","Robot Communication Link Using 802.11N or 900MHz OFDM","37--51","","15","802.11g, Datagram loss, FLC910E, Teleoperated robot, Throughput, packet loss","10.1016/j.jnca.2015.02.005","J. Netw. Comput. Appl.","June 2015","52","C","","June","2015","1084-8045","","","","","","Academic Press Ltd.","London, UK, UK"
"article","2460711","Michal  Rinott and Shachar  Geiger and Eran  Gal-Or and Luka  Or","","","","Cubes","397--398","","2","engagement, interactive art, physical computing, tangible interaction design, transparency","10.1145/2460625.2460711","","","","","","","2013","","Proceedings of the 7th International Conference on Tangible, Embedded and Embodied Interaction","TEI '13","","978-1-4503-1898-3","Barcelona, Spain","ACM","New York, NY, USA"
"article","2769543","Salah  Saleh and Karsten  Berns","","","","Nonverbal Communication with a Humanoid Robot via Head Gestures","15:1--15:8","15","8","human-robot interaction, humanoid robot, nonverbal communication","10.1145/2769493.2769543","","","","","","","2015","","Proceedings of the 8th ACM International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '15","","978-1-4503-3452-5","Corfu, Greece","ACM","New York, NY, USA"
"article","1601198","Jamy  Li and Mark  Chignell and Sachi  Mizobuchi and Michiaki  Yasumura","","","","Emotions and Messages in Simple Robot Gestures","331--340","","10","Emotion, Gestures, Human-Robot Interaction, Social Robots","10.1007/978-3-642-02577-8_36","","","","","","","2009","","Proceedings of the 13th International Conference on Human-Computer Interaction. Part II: Novel Interaction Methods and Techniques","","","978-3-642-02576-1","San Diego, CA","Springer-Verlag","Berlin, Heidelberg"
"book","2755050","Georgios Ch. Sirakoulis and Andrew  Adamatzky","","","","","","","","","","","","","","","","2014","","Robots and Lattice Automata","","","3319109235, 9783319109237","","Springer Publishing Company, Incorporated",""
"article","1052465","Lars Erik Holmquist","","","","Prototyping: Generating Ideas or Cargo Cult Designs?","48--54","","7","","10.1145/1052438.1052465","interactions","March + April 2005","12","2","","March","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1957678","Eleanor  Avrunin and Justin  Hart and Ashley  Douglas and Brian  Scassellati","","","","Effects Related to Synchrony and Repertoire in Perceptions of Robot Dance","93--100","","8","beliefs about robots, entertainment robots, experimental, human's responses to robots","10.1145/1957656.1957678","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","1618779","Cloud  Makasu","","","","Technical Communique: Risk-sensitive Control for a Class of Homing Problems","2454--2455","","2","Backward stochastic differential equation, First-passage time, Homing problems","10.1016/j.automatica.2009.06.015","Automatica","October, 2009","45","10","","October","2009","0005-1098","","","","","","Pergamon Press, Inc.","Tarrytown, NY, USA"
"article","1137596","Songmin  Jia and Weiguo  Lin and Kaizhong  Wang and Kunikatsu  Takase","","","","Network Distributed Multi-Functional Robotic System Supporting the Elderly and Disabled People","53--76","","24","CORBA, HRI, distribution, mobile robot, multi-robot, network, robot control","10.1007/s10846-005-9028-y","J. Intell. Robotics Syst.","January   2006","45","1","","January","2006","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2867989","Keita  Matsuo and Yi  Liu and Donald  Elmazi and Leonard  Barolli and Kazunori  Uchida","","","","Implementation and Evaluation of a Small Size Omnidirectional Wheelchair","49--53","","5","Mobile Computing, Robotics, Wheelchair","10.1109/WAINA.2015.100","","","","","","","2015","","Proceedings of the 2015 IEEE 29th International Conference on Advanced Information Networking and Applications Workshops","WAINA '15","","978-1-4799-1775-4","","IEEE Computer Society","Washington, DC, USA"
"article","2818176","Nadia Magnenat Thalmann and Daniel  Thalmann","","","","Multimodal Human-machine Interaction Including Virtual Humans or Social Robots","12:1--12:210","12","210","","10.1145/2818143.2818176","","","","","","","2015","","SIGGRAPH Asia 2015 Courses","SA '15","","978-1-4503-3924-7","Kobe, Japan","ACM","New York, NY, USA"
"article","1274591","Sonia  Chernova and Ronald C. Arkin","","","","From Deliberative to Routine Behaviors: A Cognitively Inspired Action-Selection Mechanism for Routine Behavior Capture","199--216","","18","action selection, developmental robotics, humanoid robot, robot architecture, routine behavior","10.1177/1059712306076255","Adaptive Behavior - Animals, Animats, Software Agents, Robots, Adaptive Systems","June      2007","15","2","","June","2007","1059-7123","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"book","1386508","John  Blankenship and Samuel  Mishal","","","","","","","","","","","","","","","","2008","","Robot Programmer's Bonanza","","1","0071547975, 9780071547970","","McGraw-Hill/TAB Electronics",""
"article","2907021","Daniel  Ullman and Bertram  Malle","","","","The Effect of Perceived Involvement on Trust in Human-Robot Interaction","641--642","","2","agency, human-robot interaction, social robotics, trust","","","","","","","","2016","","The Eleventh ACM/IEEE International Conference on Human Robot Interaction","HRI '16","","978-1-4673-8370-7","Christchurch, New Zealand","IEEE Press","Piscataway, NJ, USA"
"article","271167","  Communities and CSCW","","","","Annette Adler","32--33","","2","","10.1145/271159.271167","SIGGROUP Bull.","April 1997","18","1","","April","1997","2372-7403","","","","","","ACM","New York, NY, USA"
"article","1353231","Guanghui  Wang and Jonathan  Wu and Zhengqiao  Ji","","","","Single View Based Pose Estimation from Circle or Parallel Lines","977--985","","9","Imaged circular points, Pose estimation, Robot localization, Single view metrology","10.1016/j.patrec.2008.01.017","Pattern Recogn. Lett.","May, 2008","29","7","","May","2008","0167-8655","","","","","","Elsevier Science Inc.","New York, NY, USA"
"article","2974805","Wilson K.H. Ko and Yan  Wu and Keng Peng  Tee","","","","LAP: A Human-in-the-loop Adaptation Approach for Industrial Robots","313--319","","7","automation, human-robot interaction, imitation learning, industrial robotics, industrial robots, intuitive teaching, robot learning from demonstration","10.1145/2974804.2974805","","","","","","","2016","","Proceedings of the Fourth International Conference on Human Agent Interaction","HAI '16","","978-1-4503-4508-8","Biopolis, Singapore","ACM","New York, NY, USA"
"article","2538312","Luis  Gracia and Antonio  Sala and Fabricio  Garelli","","","","Robot Coordination Using Task-priority and Sliding-mode Techniques","74--89","","16","Collision avoidance, Cooperative robots, Multi-robot systems, Robot control","10.1016/j.rcim.2013.08.003","Robot. Comput.-Integr. Manuf.","February, 2014","30","1","","February","2014","0736-5845","","","","","","Pergamon Press, Inc.","Tarrytown, NY, USA"
"article","2852503","Yujun  Ma and Chi Harold  Liu and Musaed  Alhussein and Yin  Zhang and Min  Chen","","","","LTE-based Humanoid Robotics System","1279--1284","","6","Cloud computing, LTE, Robot","10.1016/j.micpro.2015.08.004","Microprocess. Microsyst.","November 2015","39","8","","November","2015","0141-9331","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","1149548","Svetlana  Larionova and Nuno  Almeida and Lino  Marques and A. T. Almeida","","","","Olfactory Coordinated Area Coverage","251--260","","10","Cleaning robots, Complete coverage, Robot cooperation, Robot olfaction","10.1007/s10514-006-7099-7","Auton. Robots","June      2006","20","3","","June","2006","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"book","2667142","Shuuji  Kajita and Hirohisa  Hirukawa and Kensuke  Harada and Kazuhito  Yokoi","","","","","","","","","","","","","","","","2014","","Introduction to Humanoid Robotics","","","3642545351, 9783642545351","","Springer Publishing Company, Incorporated",""
"article","2675052","Nadia Magnenat Thalmann and Daniel  Thalmann and Zerrin  Yumak","","","","Multimodal Human-machine Interaction Including Virtual Humans or Social Robots","14:1--14:103","14","103","","10.1145/2659467.2675052","","","","","","","2014","","SIGGRAPH Asia 2014 Courses","SA '14","","978-1-4503-3195-1","Shenzhen, China","ACM","New York, NY, USA"
"article","2470343","Alexandre  Miranda and Yolanda  Bolea and Alberto  Sanfeliu and Antoni  Grau","","","","Work in Progress: A Constructivist Didactic Methodology for a Humanoid Robotics Workshop","1--3","","3","Conferences,Educational institutions,Robot sensing systems,Service robots,Humanoid robots,Humanoid robots,Constructivism,Robotics","10.1109/FIE.2012.6462226","","","","","","","2012","","Proceedings of the 2012 IEEE Frontiers in Education Conference (FIE)","FIE '12","","978-1-4673-1353-7","","IEEE Computer Society","Washington, DC, USA"
"book","1795533","R.  Capurro and M.  Nagenborg and R.  Capurro and M.  Nagenborg","","","","","","","","","","","","","","","","2009","","Ethics and Robotics","","","1607500086, 9781607500087","","IOS Press","Amsterdam, The Netherlands, The Netherlands"
"article","2410337","Pedro U. Lima","","","","Search and Rescue Robots: The Civil Protection Teams of the Future","12--19","","8","Search and rescue robots, cooperative robots, adjustable autonomy, aerial robots, land robots","10.1109/EST.2012.40","","","","","","","2012","","Proceedings of the 2012 Third International Conference on Emerging Security Technologies","EST '12","","978-0-7695-4791-6","","IEEE Computer Society","Washington, DC, USA"
"book","1830433","David  Cook","","","","","","","","","","","","","","","","2010","","Intermediate Robot Building","","2nd","1430227540, 9781430227540","","Apress","Berkely, CA, USA"
"article","3023165","Amanda J. Sharkey","","","","Should We Welcome Robot Teachers?","283--297","","15","Attachment, Classroom, Deception, Privacy, Robot companion, Robot ethics, Robot teacher","10.1007/s10676-016-9387-z","Ethics and Inf. Technol.","December  2016","18","4","","December","2016","1388-1957","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1957707","Mattias  Jacobsson and Henriette  Cramer","","","","Universal Robots As 'Solutions' to Wicked Problems: Debunking a Robotic Myth","153--154","","2","human-robot interaction, robotic materials, wicked problems","10.1145/1957656.1957707","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","2696496","Paul  Bremner and Ute  Leonards","","","","Speech and Gesture Emphasis Effects for Robotic and Human Communicators: A Direct Comparison","255--262","","8","gestures, human-robot interaction, humanoid robots","10.1145/2696454.2696496","","","","","","","2015","","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '15","","978-1-4503-2883-8","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","1298566","Erol  &#350;ahin and Maya  &#199;akmak and Mehmet R. Do&#287;ar and Emre  U&#287;ur and G&#246;kt&#252;rk  &#220;&#231;oluk","","","","To Afford or Not to Afford: A New Formalization of Affordances Toward Affordance-Based Robot Control","447--472","","26","affordance, autonomous robots, control architecture, formalization, perception","10.1177/1059712307084689","Adaptive Behavior - Animals, Animats, Software Agents, Robots, Adaptive Systems","December  2007","15","4","","December","2007","1059-7123","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"phdthesis","1237280","Zengshi  Chen","","Hooshang  Hemami","","","","","","","","","","","","","","2006","","Dynamics and Control of Collision of Multi-link Humanoid Robots with a Rigid or Elastic Object","","","978-0-542-82335-0","","Ohio State University","Columbus, OH, USA"
"book","2840176","Tim  Ambler and Nicholas  Cloud","","","","","","","","","","","","","","","","2015","","JavaScript Frameworks for Modern Web Dev","","1st","1484206630, 9781484206638","","Apress","Berkely, CA, USA"
"article","2928263","&#193;lvaro  Castro-Gonz&#225;lez and Henny  Admoni and Brian  Scassellati","","","","Effects of Form and Motion on Judgments of Social Robots' Animacy, Likability, Trustworthiness and Unpleasantness","27--38","","12","Animacy, Appearance, Lifeliness, Motion, Robots, Social robots","10.1016/j.ijhcs.2016.02.004","Int. J. Hum.-Comput. Stud.","June 2016","90","C","","June","2016","1071-5819","","","","","","Academic Press, Inc.","Duluth, MN, USA"
"phdthesis","239468","Yalin  Xiong","","","","","","","","","","","","","","","","1995","","High Precision Image Matching and Shape Recovery","","","","","Carnegie Mellon University","Pittsburgh, PA, USA"
"article","860614","Monica N. Nicolescu and Maja J. Mataric","","","","Natural Methods for Robot Task Learning: Instructive Demonstrations, Generalization and Practice","241--248","","8","human-robot interaction, learning by demonstration, robotics","10.1145/860575.860614","","","","","","","2003","","Proceedings of the Second International Joint Conference on Autonomous Agents and Multiagent Systems","AAMAS '03","","1-58113-683-8","Melbourne, Australia","ACM","New York, NY, USA"
"article","2560024","Alessandra  Sciutti and Katrin  Lohan and Yukie  Nagai","","","","HRI: A Bridge Between Robotics and Neuroscience","501--502","","2","cognitive robotics, human-robot interaction, neuroscience","10.1145/2559636.2560024","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","2563716","Max  Schwarz and J&#246;rg  St&#252;ckler and Sven  Behnke","","","","Mobile Teleoperation Interfaces with Adjustable Autonomy for Personal Service Robots","288--289","","2","mobile manipulation, personal robots, robot teleoperation interfaces","10.1145/2559636.2563716","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"article","1360870","Zulfiqar  Habib and Manabu  Sakai","","","","Transition Between Concentric or Tangent Circles with a Single Segment of G2 PH Quintic Curve","247--257","","11","Computer graphics, Highway designing, Pythagorean hodograph, Quintic, Robot path planning","10.1016/j.cagd.2007.10.006","Comput. Aided Geom. Des.","May, 2008","25","4-5","","May","2008","0167-8396","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","1349837","Katherine  Tsui and Holly  Yanco and David  Kontak and Linda  Beliveau","","","","Development and Evaluation of a Flexible Interface for a Wheelchair Mounted Robotic Arm","105--112","","8","assistive technology, human-robot interaction, robotic arm","10.1145/1349822.1349837","","","","","","","2008","","Proceedings of the 3rd ACM/IEEE International Conference on Human Robot Interaction","HRI '08","","978-1-60558-017-3","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","2205678","E.  Michaelsen and K.  J&#228;ger and D.  Roschkowski and L.  Doktorski and M.  Arens","","","","On the Semantics of Object-oriented Landmark Recognition","44--53","","10","Computer vision, autonomous robotics","10.1134/S1054661812010270","Pattern Recognit. Image Anal.","March     2012","22","1","","March","2012","1054-6618","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","1957726","Sara  Ljungblad and Stina  Nylander and Mie  N&#248;rgaard","","","","Beyond Speculative Ethics in HRI?: Ethical Considerations and the Relation to Empirical Data","191--192","","2","eating aid, ethics, hospital robot, robots","10.1145/1957656.1957726","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","1228750","Cristen  Torrey and Aaron  Powers and Susan R. Fussell and Sara  Kiesler","","","","Exploring Adaptive Dialogue Based on a Robot's Awareness of Human Gaze and Task Progress","247--254","","8","adaptive dialogue, human-robot dialogue, human-robot interaction, social robots","10.1145/1228716.1228750","","","","","","","2007","","Proceedings of the ACM/IEEE International Conference on Human-robot Interaction","HRI '07","","978-1-59593-617-2","Arlington, Virginia, USA","ACM","New York, NY, USA"
"article","946195","Alaa M. Khamis and Francisco J. Rodr&#237;guez and Miguel A. Salichs","","","","Remote Interaction with Mobile Robots","267--281","","15","internet robotics, mobile robotics, online robots, remote interaction, remote laboratories","10.1023/A:1026268504593","Auton. Robots","November 2003","15","3","","November","2003","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"book","504374","","","","","","","","","","","","","","","","","2002","","Robot Building for Beginners","","","1-893115-44-5","","Apress","Berkely, CA, USA"
"article","2157771","Megha  Sharma and James E. Young and Rasit  Eskicioglu","","","","Developing Guidelines for In-the-field Control of a Team of Robots","233--234","","2","human robot interaction, interface design, robot teams","10.1145/2157689.2157771","","","","","","","2012","","Proceedings of the Seventh Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '12","","978-1-4503-1063-5","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","2929264","Mattia  D'Emidio and Daniele  Frigioni and Alfredo  Navarra","","","","Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs","169--180","","12","Distributed algorithm, Luminous Robots, Mobile Robots, Synchronicity","10.1016/j.entcs.2016.03.012","Electron. Notes Theor. Comput. Sci.","April 2016","322","C","","April","2016","1571-0661","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"book","557914","Tom  Logsdon","","","Illustrator-Ed  Roman","","","","","","","","","","","","","2000","","The  Robot Revolution","","","0595149480","","iUniverse, Incorporated",""
"article","2467106","Kai M. Wurm and Christian  Dornhege and Bernhard  Nebel and Wolfram  Burgard and Cyrill  Stachniss","","","","Coordinating Heterogeneous Teams of Robots Using Temporal Symbolic Planning","277--294","","18","Exploration, Heterogeneous robots, Marsupial robots, Multi-robot coordination, Temporal planning","10.1007/s10514-012-9320-1","Auton. Robots","May       2013","34","4","","May","2013","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
