"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.cloud+robotics.RB.+and+.LB.cloud+computing.RB.",2017/05/03 14:24:04
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"PEFC: Performance Enhancement Framework for Cloudlet in mobile cloud computing","M. Whaiduzzaman; A. Gani; A. Naveed","Center for Mobile Cloud Computing Research, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, Malaysia","2014 IEEE International Symposium on Robotics and Manufacturing Automation (ROMA)","20151012","2014","","","224","229","Augmenting the computing capability to the distant cloud help us to envision a new computing era named as mobile cloud computing (MCC). By leveraging the cloud resources mobile user can computation time and energy benefit. However, distant cloud has several limitations such as communication delay and bandwidth make us to think for closer cloud which brings the idea of proximate cloud of cloudlet. Cloudlet has distinct advantages and is free from several limitations of distant cloud. However, limited resources of cloudlet negatively impact the cloudlet performance with the increasing number of substantial users. In this paper, we propose a framework which helps to enhance the finite resource cloudlet performance by increasing cloudlet resources. Our aim is to increase the cloudlet performance with this limited cloudlet resource and make the better user experience for the cloudlet user in mobile cloud computing. We analyze and explain the each section of the proposed framework. In addition, we also list the important features and salient advantages of Performance Enhancement Framework of Cloudlet (PEFC).","","Electronic:978-1-4799-5765-1; POD:978-1-4799-5766-8; USB:978-1-4799-5764-4","10.1109/ROMA.2014.7295892","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7295892","cloudlet;computation offloading;mobile cloud computing;performance enhancement;resources","IEEE 802.11 Standard;Integrated circuits;Medical services;Performance evaluation;Robots;Synchronization;Wireless communication","cloud computing;mobile computing;resource allocation;software performance evaluation","MCC;PEFC;cloud resource leveraging;mobile cloud computing;performance enhancement framework for cloudlet","","1","","17","","","15-16 Dec. 2014","","IEEE","IEEE Conference Publications"
"Real-time depth and inertial fusion for local SLAM on dynamic legged robots","M. Camurri; S. Bazeille; D. G. Caldwell; C. Semini","Dynamic Legged Systems Lab, Department of Advanced Robotics, Istituto Italiano di Tecnologia (IIT), Via Morego 30, 16163 Genova, Italy","2015 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI)","20151012","2015","","","259","264","We present a real-time SLAM system that combines an improved version of the Iterative Closest Point (ICP) and inertial dead reckoning to localize our dynamic quadrupedal machine in a local map. Despite the strong and fast motions induced by our 80 kg hydraulic legged robot, the SLAM system is robust enough to keep the position error below 5% within the local map that surrounds the robot. The 3D map of the terrain, computed at the camera frame rate is suitable for vision based planned locomotion. The inertial measurements are used before and after the ICP registration, to provide a good initial guess, to correct the output and to detect registration failures which can potentially corrupt the map. The performance in terms of time and accuracy are also doubled by preprocessing the point clouds with a background subtraction prior to performing the ICP alignment. Our local mapping approach, in spite of having a global frame of reference fixed onto the ground, aligns the current map to the body frame, and allows us to push the drift away from the most recent camera scan. The system has been tested on our robot by performing a trot around obstacles and validated against a motion capture system.","","Electronic:978-1-4799-7772-7; POD:978-1-4799-7773-4; USB:978-1-5090-0307-5","10.1109/MFI.2015.7295818","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7295818","","Iterative closest point algorithm;Legged locomotion;Simultaneous localization and mapping;Three-dimensional displays;Transforms","SLAM (robots);computer graphics;legged locomotion","3D map;ICP registration;dynamic legged robots;dynamic quadrupedal machine;hydraulic legged robot;inertial dead reckoning;inertial fusion;iterative closest point;local SLAM;motion capture system;point clouds;real-time SLAM system;real-time depth;vision based planned locomotion","","","","22","","","14-16 Sept. 2015","","IEEE","IEEE Conference Publications"
"Sensor cloud: SmartComponent framework for reconfigurable diagnostics in intelligent manufacturing environments","L. Neto; J. Reis; D. Guimarães; G. Gonçalves","Institute for Systems and Robotics, Faculty of Engineering of University of Porto, Porto, Portugal","2015 IEEE 13th International Conference on Industrial Informatics (INDIN)","20151001","2015","","","1706","1711","Sensor networks that consist of a variety of sensor nodes, with capability for distributed storage and analysis, interoperable and delay-tolerant communication, will pave the way for a truly scalable network of sensors which will support adaptable plug-and-produce assembly stations. The concept of Sensor Cloud has emerged as the cornerstone for enabling the integration of nearly real time data sources into Service Oriented Architectures and as one of the enablers for Reconfigurable Manufacturing Systems. Hitherto there are still some challenges that need to be tackled, namely the on-the-fly instantiation and update of services at the system level and the dynamic (re)organization of the services created. This paper presents the first steps in the development of a framework (taking advantage of several technologies like UPnP, OSGi and iPOJO) to address these challenges and make Sensor Clouds a reality in the shop floor. The results from the first implementation reveal that the performance of the system is linear in terms of scalability, and from these scalability tests, we proved the framework's robustness and consistent responsiveness.","1935-4576;19354576","Electronic:978-1-4799-6649-3; POD:978-1-4799-6650-9; USB:978-1-4799-6648-6","10.1109/INDIN.2015.7281991","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281991","","Computer architecture;Context;Manufacturing systems;Monitoring;Robot sensing systems;Scalability;Software","cloud computing;fault diagnosis;intelligent manufacturing systems;production engineering computing","SmartComponent framework;intelligent manufacturing environments;reconfigurable diagnostics;reconfigurable manufacturing systems;scalability tests;sensor cloud concept;sensor networks;service oriented architecture;shop floor","","1","","15","","","22-24 July 2015","","IEEE","IEEE Conference Publications"
"An implementation of cloud robotic platform for real time face recognition","S. Tian; S. G. Lee","Department of Robot Engineering, Yeungnam University, Gyeongsan, Korea 712-749","2015 IEEE International Conference on Information and Automation","20151001","2015","","","1509","1514","In this paper, we present our work on designing and implementing a cloud-based robot system, the RC-Cloud Robot System, which connects cloud computing infrastructure for accessing distributed computing resources and big data and executing multitask like face detection, face recognition and etc. We have deployed one application, “real-time face recognition application” in the RC-Cloud robot system. The experimental results show that the RC-Cloud robot system is capable of executing computation-intensive tasks for robot client efficiently and sharing information among all the clients in the system.","","Electronic:978-1-4673-9104-7; POD:978-1-4673-9105-4; USB:978-1-4673-9103-0","10.1109/ICInfA.2015.7279524","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7279524","Cloud robot;Cloud robotics;Face recognition robot;RC-Cloud robot system","Cloud computing;Computers;Face recognition;Robot sensing systems;Servers;XML","Big Data;cloud computing;control engineering computing;distributed processing;face recognition;robot vision","RC-Cloud robot system;big data;cloud computing infrastructure;distributed computing resources;face detection;real time face recognition","","1","","14","","","8-10 Aug. 2015","","IEEE","IEEE Conference Publications"
"Distributed, reconfigurable architecture for robot companions exemplified by a voice-mail application","M. Figat; T. Kornuta; M. Szlenk; C. Zieliński","Institute of Control and Computation Engineering, Warsaw University of Technology, Nowowiejska 15/19, 00-665 Warsaw, Poland","2015 20th International Conference on Methods and Models in Automation and Robotics (MMAR)","20151001","2015","","","1092","1097","The limitations of the computational capabilities of robots' on-board computers necessitate the distribution of their control software in a cloud. This paper presents a distributed, reconfigurable control architecture based on the decomposition into agents, two of which are executed on the robot: the core agent is a fixed part of the controller, providing the task-independent robot capabilities, whereas the dynamic agent, loaded from the cloud when required, executes the task dependent program. The two mentioned agents execute the task, additionally utilising the capabilities of the cloud. The system is presented on an exemplary application of a NAO robot sending voice-mails.","","CD-ROM:978-1-4799-8700-9; Electronic:978-1-4799-8701-6; POD:978-1-4799-8702-3","10.1109/MMAR.2015.7284031","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284031","","Computer architecture;Computers;Electronic mail;Robot kinematics;Servers;Speech recognition","cloud computing;control engineering computing;reconfigurable architectures;robots;voice mail","NAO robot;cloud computing;distributed control architecture;reconfigurable control architecture;voice-mail application","","","","17","","","24-27 Aug. 2015","","IEEE","IEEE Conference Publications"
"MobileFusion: Real-Time Volumetric Surface Reconstruction and Dense Tracking on Mobile Phones","P. Ondrúška; P. Kohli; S. Izadi","Mobile Robotics Group, University of Oxford","IEEE Transactions on Visualization and Computer Graphics","20150929","2015","21","11","1251","1258","We present the first pipeline for real-time volumetric surface reconstruction and dense 6DoF camera tracking running purely on standard, off-the-shelf mobile phones. Using only the embedded RGB camera, our system allows users to scan objects of varying shape, size, and appearance in seconds, with real-time feedback during the capture process. Unlike existing state of the art methods, which produce only point-based 3D models on the phone, or require cloud-based processing, our hybrid GPU/CPU pipeline is unique in that it creates a connected 3D surface model directly on the device at 25Hz. In each frame, we perform dense 6DoF tracking, which continuously registers the RGB input to the incrementally built 3D model, minimizing a noise aware photoconsistency error metric. This is followed by efficient key-frame selection, and dense per-frame stereo matching. These depth maps are fused volumetrically using a method akin to KinectFusion, producing compelling surface models. For each frame, the implicit surface is extracted for live user feedback and pose estimation. We demonstrate scans of a variety of objects, and compare to a Kinect-based baseline, showing on average ~ 1.5cm error. We qualitatively compare to a state of the art point-based mobile phone method, demonstrating an order of magnitude faster scanning times, and fully connected surface models.","1077-2626;10772626","","10.1109/TVCG.2015.2459902","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7165662","3D object scanning;mobile computing;surface reconstruction","Cameras;Computational modeling;Mobile handsets;Pipelines;Real-time systems;Surface reconstruction;Three-dimensional displays","graphics processing units;image capture;image colour analysis;image fusion;image reconstruction;image registration;mobile computing;object tracking;pose estimation;solid modelling;stereo image processing","KinectFusion;MobileFusion;RGB input registration;cloud-based processing;connected 3D surface model;dense 6DoF camera tracking;dense per-frame stereo matching;dense tracking;embedded RGB camera;hybrid GPU/CPU pipeline;image capture;implicit surface extraction;key-frame selection;live user feedback;mobile phones;noise aware photoconsistency error metric;object appearance;object scanning;object shape;object size;point-based 3D model;point-based mobile phone method;pose estimation;real-time feedback;real-time volumetric surface reconstruction;scanning time;volumetric depth map fusion","0","6","","32","","20150723","Nov. 15 2015","","IEEE","IEEE Journals & Magazines"
"Remote monitoring and control of a mobile robot system with obstacle avoidance capability","D. Sunehra; A. Bano; S. Yandrathi","Electronics & Communication, JNTUH College of Engineering, Jagtial, Telangana, India","2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","20150928","2015","","","1803","1809","With the advancements in technology, the field of robotics and automation has gained tremendous popularity. Mobile Robots are being widely used in a number of places including production plants, warehouses, airports, agriculture, medical, military, and in hazardous environments to reduce human efforts. In this paper, we present the design and implementation of a mobile robot system with obstacle avoidance capability for remote sensing and monitoring. The proposed system enables the user (base station) to send necessary commands to the remote station (mobile robot) using Dual-Tone Multi-Frequency (DTMF) signals for robot teleoperation. Global Positioning System (GPS) and Global System for Mobile communication (GSM) technologies are used, which provide user with mobile robot location in the form of a Google map link. The system also provides the user with real time video monitoring of the remote area by using an internet enabled device. The user can also save the images and record the videos captured by the mobile robot IP webcam at the remote location, which can be stored in a public cloud for later use.","","Electronic:978-1-4799-8792-4; POD:978-1-4799-8793-1; USB:978-1-4799-8791-7","10.1109/ICACCI.2015.7275877","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7275877","DTMF decoder;GSM Modem;Global Positioning System;IP webcam;Mobile Robot;Ultrasonic sensors","DC motors;GSM;Global Positioning System;Microcontrollers;Mobile robots;Robot sensing systems","collision avoidance;computerised monitoring;control engineering computing;mobile robots;telerobotics","DTMF signals;GPS;GSM technology;Global Positioning System;Google map link;Internet enabled device;base station;dual-tone multifrequency signals;global system for mobile communication;mobile robot system;obstacle avoidance capability;real-time video monitoring;remote control;remote monitoring;remote sensing;remote station;robot IP Webcam;robot teleoperation","","","","11","","","10-13 Aug. 2015","","IEEE","IEEE Conference Publications"
"Telerobotic Haptic Exploration in Art Galleries and Museums for Individuals with Visual Impairments","C. H. Park; E. S. Ryu; A. M. Howard","School of Engineering and Computing Sciences, New York Institute of Technology, New York, NY","IEEE Transactions on Haptics","20150917","2015","8","3","327","338","This paper presents a haptic telepresence system that enables visually impaired users to explore locations with rich visual observation such as art galleries and museums by using a telepresence robot, a RGB-D sensor (color and depth camera), and a haptic interface. The recent improvement on RGB-D sensors has enabled real-time access to 3D spatial information in the form of point clouds. However, the real-time representation of this data in the form of tangible haptic experience has not been challenged enough, especially in the case of telepresence for individuals with visual impairments. Thus, the proposed system addresses the real-time haptic exploration of remote 3D information through video encoding and real-time 3D haptic rendering of the remote real-world environment. This paper investigates two scenarios in haptic telepresence, i.e., mobile navigation and object exploration in a remote environment. Participants with and without visual impairments participated in our experiments based on the two scenarios, and the system performance was validated. In conclusion, the proposed framework provides a new methodology of haptic telepresence for individuals with visual impairments by providing an enhanced interactive experience where they can remotely access public places (art galleries and museums) with the aid of haptic modality and robotic telepresence.","1939-1412;19391412","","10.1109/TOH.2015.2460253","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7165667","3D haptic rendering;3D haptic rendering,;Haptic telepresence;assistive robotics;depth sensors;multimedia streaming;video encoding;visual impairment","Haptic interfaces;Image color analysis;Robot sensing systems;Streaming media;Three-dimensional displays;Visualization","handicapped aids;haptic interfaces;image sensors;mobile robots;museums;robot vision;telerobotics","3D spatial information;RGB-D sensor;art galleries;haptic interface;haptic telepresence system;mobile navigation;museums;object exploration;point clouds;public places;real-time 3D haptic rendering;remote environment;rich visual observation;robotic telepresence;tangible haptic experience;telepresence robot;telerobotic haptic exploration;visual impairments","0","1","","64","","20150723","July-Sept. 1 2015","","IEEE","IEEE Journals & Magazines"
"ROS, Android and cloud robotics: How to make a powerful low cost robot","J. P. de A. Barbosa; F. do P. de C. Lima; L. dos S. Coutinho; J. P. R. Rodrigues Leite; J. Barbosa Machado; C. Henrique Valerio; G. Sousa Bastos","Graduate School of Aeronautics Engineering, Aeronautics Institute of Technology - ITA, Sao Jose dos Campos - SP, Brazil","2015 International Conference on Advanced Robotics (ICAR)","20150910","2015","","","158","163","With the constant development in the robotics field, many solutions require a high hardware complexity to be executed resulting in an expensive robotic system. Furthermore, these solutions are usually closed box implementations that are hard to be reproduced. Hence, this project proposes a system structure to reduce these difficulties in robotics development. This system consists of a low cost robot with an embedded Android phone in a ROS environment. For testing this implementation, two Android phones, a laptop and a robot with an Arduino microcontroller have been used. The results of the study demonstrated several advantages of using this system, such as incorporating processing and sensing from the smartphone on the robot, having external heavy processing in a Server outside the robot and being able to connect the robot to the cloud. Therefore, using a popular Android device running a Rosjava application can be very useful in robotics applications and development, mainly due to the possibilities provided by this simple system.","","Electronic:978-1-4673-7509-2; POD:978-1-4673-7510-8","10.1109/ICAR.2015.7251449","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7251449","Android;ROS;Rosjava;cloud robotics;robotic systems","Androids;Google;Humanoid robots;Robot sensing systems;Smart phones","Java;cloud computing;microcontrollers;operating systems (computers);robot programming;smart phones","Android device;Arduino microcontroller;ROS environment;Rosjava application;closed box implementation;cloud robotics;constant development;embedded Android phone;hardware complexity;laptop;low cost robot;robotic system;robotics development;system structure","","0","","21","","","27-31 July 2015","","IEEE","IEEE Conference Publications"
"A novel method for implementing Artificial Intelligence, Cloud and Internet of Things in Robots","Aadhityan A","Department of Physics, TBML College, Porayar, Tamil Nadu, India","2015 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)","20150813","2015","","","1","4","This paper describe about a new methodology to implement Artificial Intelligence, Cloud and Internet of Things in Robots. Now a days, Artificial Intelligence take a main part in the world into robotics. Almost all industries use robots for various works. They were using co-operative robots to make different kind of works. But there was some problem to make robot for multi tasks. So there is a need to create new methodology to made multi tasking robots. It will be done only by artificial intelligence and internet of things. Also connected to cloud can reduce cost. This paper describe the process to make a robot in a simplified manner.","","Electronic:978-1-4799-6818-3; POD:978-1-4799-6819-0","10.1109/ICIIECS.2015.7193238","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7193238","Artificial intelligence;Cloud;Internet of things;Robotics;Robots","Artificial intelligence;Cloud computing;Robot kinematics;Robot sensing systems;Service robots","Internet of Things;artificial intelligence;cloud computing;control engineering computing;multi-robot systems","Internet of Things;artificial intelligence;cloud computing;cooperative robots;cost reduction;multitasking robots;robots","","0","","15","","","19-20 March 2015","","IEEE","IEEE Conference Publications"
"Smart Robotic Assistant","A. Kumar; A. Mishra; P. Makula; K. Karan; V. K. Mittal","Indian Inst. of Inf. Technol., Sri City, India","2015 IEEE Region 10 Symposium","20150727","2015","","","25","28","Smart robotic assistants help human beings in reducing the manual efforts in day-to-day tasks and the risk to precious human lives in hazardous situations. In this paper, we develop a smart robotic assistant that operates on human voice commands, given remotely by using an Android platform based smart IoT device. The real-time signal processing of the voice commands is carried out using a cloud server. The speech command signal converted to text form is then communicated to the robotic assistant over a Bluetooth network. The robotic assistant is developed on an Arduino micro-controller based platform. The robotic assistant is capable of performing different movements such as turns and start/stop operations, and picking up an object from one location and placing it at another location. The effectiveness of the voice commands given over the network is measured through several experiments. Performance evaluation results are encouraging. Potential applications of this smart robotic assistant in homes, hospitals and industries are discussed.","","Electronic:978-1-4799-1782-2; POD:978-1-4799-1783-9","10.1109/TENSYMP.2015.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7166229","Android based smart IoT devices;Bluetooth network;smart robotic assistant;voice commands","Angular velocity;Bluetooth;Performance evaluation;Service robots;Speech;Torque","Android (operating system);Bluetooth;Internet of Things;audio signal processing;audio user interfaces;cloud computing;human-robot interaction;intelligent robots;microcontrollers;mobile computing;risk management;service robots;speech processing","Android platform based smart IoT device;Arduino microcontroller based platform;Bluetooth network;cloud server;day-to-day tasks;hazardous situations;human lives;human voice commands;performance evaluation;real-time signal processing;smart robotic assistants;speech command signal;start-stop operations","","0","","11","","","13-15 May 2015","","IEEE","IEEE Conference Publications"
"Semantic mapping for mobile outdoor robots","D. Lang; S. Friedmann; J. Hedrich; D. Paulus","Active Vision Group, University of Koblenz-Landau, 56070 Koblenz, Germany","2015 14th IAPR International Conference on Machine Vision Applications (MVA)","20150713","2015","","","325","328","In this paper we present the concept and realization of a semantic mapping system for a mobile outdoor robot. Semantic maps aim to give robots the ability to gather semantic information about their environment, to store it, represent it for the user, and to perform high-level tasks based on the semantic information. The map is build by a system integrating the combination of object classification and common-sense knowledge. We validate the proposed semantic map representation on a real-world 3D point cloud dataset. The presented classification approach achieves an overall precision about 96 %. The semantic maps result into a data structure which offers the opportunity to solve complex task settings and can be integrated onto real robotic systems.","","Electronic:978-4-9011-2214-6; POD:978-1-4799-8247-9; USB:978-4-9011-2215-3","10.1109/MVA.2015.7153196","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153196","","Algorithm design and analysis;Buildings;Data structures;Robots;Search problems;Semantics;Three-dimensional displays","control engineering computing;data structures;mobile robots;path planning;pattern classification","classification approach;common-sense knowledge;complex task settings;data structure;high-level tasks;mobile outdoor robots;object classification;real-world 3D point cloud dataset;robotic systems;semantic information;semantic map representation;semantic mapping system","","0","","9","","","18-22 May 2015","","IEEE","IEEE Conference Publications"
"A voice-controlled personal assistant robot","A. Mishra; P. Makula; A. Kumar; K. Karan; V. K. Mittal","Indian Institute of Information Technology, Chittoor, Sri City, A.P., India","2015 International Conference on Industrial Instrumentation and Control (ICIC)","20150709","2015","","","523","528","Personal robotic assistants help reducing the manual efforts being put by humans in their day-to-day tasks. In this paper, we develop a voice-controlled personal assistant robot. The human voice commands are given to the robotic assistant remotely, by using a smart mobile phone. The robot can perform different movements, turns, start/stop operations and relocate an object from one place to another. The voice commands are processed in real-time, using an online cloud server. The speech signal commands converted to text form are communicated to the robot over a Bluetooth network. The personal assistant robot is developed on a micro-controller based platform and can be aware of its current location. The effectiveness of the voice control communicated over a distance is measured through several experiments. Performance evaluation is carried out with encouraging results of the initial experiments. Possible improvements are also discussed towards potential applications in home, hospitals and industries.","","Electronic:978-1-4799-7165-7; POD:978-1-4799-7166-4","10.1109/IIC.2015.7150798","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7150798","Android based smart devices;Bluetooth;control over voice;smart assistant robot","Angular velocity;Bluetooth;Robot kinematics;Service robots;Smart phones;Speech","Bluetooth;cloud computing;control engineering computing;microcontrollers;mobile computing;mobile handsets;service robots;speech recognition","Bluetooth network;day-to-day tasks;human voice commands;microcontroller based platform;online cloud server;personal robotic assistants;smart mobile phone;speech signal commands;start-stop operations;voice-controlled personal assistant robot","","0","","13","","","28-30 May 2015","","IEEE","IEEE Conference Publications"
"A brief survey and analysis of multi-robot communication and coordination","R. Doriya; S. Mishra; S. Gupta","Department of Information Technology, National Institute of Technology, Raipur, India-492010","International Conference on Computing, Communication & Automation","20150706","2015","","","1014","1021","Robot navigation is one of the basic problem in robotics. In the field of multi robot systems, it has become an interesting area for researchers to design algorithms that co-ordinate the movement and control the communication of multiple robots. A big challenge in this area is to design a suitable framework which makes multiple robots to work as a team to perform their task and reach their goal. In this paper, we present a brief survey of various researches being carried out in the field of multi-robot coordination and communication. We also present a framework for multi robot coordination and communication with the help of cloud. In this framework, Particle Swarm Optimization (PSO) has been used for coordination whereas Cluster Head Gateway Switch Routing (CGSR) protocol is used for communication among the robots.","","Electronic:978-1-4799-8890-7; POD:978-1-4799-8891-4","10.1109/CCAA.2015.7148524","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7148524","Cloud Computing;Cloud Robotics;Multi-robot communication;Multi-robot coordination;PSO;coordination and communication;swarm robotics","Cloud computing;Collision avoidance;Robot kinematics;Robot sensing systems;Routing;Routing protocols","cloud computing;control engineering computing;internetworking;mobile robots;multi-robot systems;particle swarm optimisation;path planning;routing protocols","CGSR protocol;PSO;cloud;cluster head gateway switch routing protocol;movement coordination;multirobot communication analysis;multirobot coordination;particle swarm optimization;robot navigation","","1","","77","","","15-16 May 2015","","IEEE","IEEE Conference Publications"
"Sensor-aided teleoperated grasping of transparent objects","K. Huang; L. T. Jiang; J. R. Smith; H. J. Chizeck","University of Washington Department of Electrical Engineering, 185 Stevens Way, Paul Allen Center - Room AE100R, Campus Box 352500, Seattle, 98195-2500, USA","2015 IEEE International Conference on Robotics and Automation (ICRA)","20150702","2015","","","4953","4959","This paper presents a method of augmenting streaming point cloud data with pretouch proximity sensor information for the purposes of teleoperated grasping of transparent targets. When using commercial RGB-Depth (RGB-D) cameras, material properties can significantly affect depth measurements. In particular, transparent objects are difficult to perceive with RGB images and commercially available depth sensors. Geometric information of such objects needs to be gathered with additional sensors, and in many scenarios, it is of interest to gather this information without physical contact. In this work, a non-contact pretouch sensor fixed to the robot end effector is used to sense and explore physical geometries previously unobserved. Thus, the point cloud representation of an unknown, transparent grasp target, can be enhanced through telerobotic exploration in real-time. Furthermore, real-time haptic rendering algorithms and haptic virtual fixtures used in combination with the augmented streaming point clouds assist the teleoperator in collision avoidance during exploration. Theoretical analyses are performed to design virtual fixtures suitable for pretouch sensing, and experiments show the effectiveness of this method to gather geometry data without collision and eventually to successfully grasp a transparent object.","1050-4729;10504729","Electronic:978-1-4799-6923-4; POD:978-1-4799-6924-1; USB:978-1-4799-6922-7","10.1109/ICRA.2015.7139887","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139887","","Cameras;End effectors;Haptic interfaces;Robot sensing systems;Three-dimensional displays","collision avoidance;control engineering computing;haptic interfaces;image colour analysis;image representation;rendering (computer graphics);sensors;telerobotics","RGB images;RGB-D camera;augmented streaming point cloud;collision avoidance;commercial RGB-Depth camera;depth measurement;depth sensor;geometric information;haptic virtual fixture;material property;oncontact pretouch sensor;point cloud representation;pretouch proximity sensor information;pretouch sensing;real-time haptic rendering algorithm;robot end effector;sensor-aided teleoperated grasping;streaming point cloud data;teleoperator;telerobotic exploration;theoretical analysis;transparent grasp target;transparent objects;transparent target","","0","","19","","","26-30 May 2015","","IEEE","IEEE Conference Publications"
"Real-time full-body human gender recognition in (RGB)-D data","T. Linder; S. Wehner; K. O. Arras","Social Robotics Lab, Dept. of Computer Science, University of Freiburg, Germany","2015 IEEE International Conference on Robotics and Automation (ICRA)","20150702","2015","","","3039","3045","Understanding social context is an important skill for robots that share a space with humans. In this paper, we address the problem of recognizing gender, a key piece of information when interacting with people and understanding human social relations and rules. Unlike previous work which typically considered faces or frontal body views in image data, we address the problem of recognizing gender in RGB-D data from side and back views as well. We present a large, gender-balanced, annotated, multi-perspective RGB-D dataset with full-body views of over a hundred different persons captured with both the Kinect v1 and Kinect v2 sensor. We then learn and compare several classifiers on the Kinect v2 data using a HOG baseline, two state-of-the-art deep-learning methods, and a recent tessellation-based learning approach. Originally developed for person detection in 3D data, the latter is able to learn the best selection, location and scale of a set of simple point cloud features. We show that for gender recognition, it outperforms the other approaches for both standing and walking people while being very efficient to compute with classification rates up to 150 Hz.","1050-4729;10504729","Electronic:978-1-4799-6923-4; POD:978-1-4799-6924-1; USB:978-1-4799-6922-7","10.1109/ICRA.2015.7139616","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139616","","Accuracy;Legged locomotion;Robot sensing systems;Support vector machines;Three-dimensional displays;Training","human-robot interaction;image classification;image sensors;learning (artificial intelligence);object detection;object recognition","HOG baseline;Kinect v1 sensor;Kinect v2 sensor;RGB-D data;annotated RGB-D dataset;deep-learning methods;gender-balanced RGB-D dataset;human social relations;human social rules;image data;multiperspective RGB-D dataset;person detection;point cloud features;real-time full-body human gender recognition;tessellation-based learning approach","","1","","27","","","26-30 May 2015","","IEEE","IEEE Conference Publications"
"GP-GPIS-OPT: Grasp planning with shape uncertainty using Gaussian process implicit surfaces and Sequential Convex Programming","J. Mahler; S. Patil; B. Kehoe; J. van den Berg; M. Ciocarlie; P. Abbeel; K. Goldberg","Department of EECS, University of California, Berkeley, USA","2015 IEEE International Conference on Robotics and Automation (ICRA)","20150702","2015","","","4919","4926","Computing grasps for an object is challenging when the object geometry is not known precisely. In this paper, we explore the use of Gaussian process implicit surfaces (GPISs) to represent shape uncertainty from RGBD point cloud observations of objects. We study the use of GPIS representations to select grasps on previously unknown objects, measuring grasp quality by the probability of force closure. Our main contribution is GP-GPIS-OPT, an algorithm for computing grasps for parallel-jaw grippers on 2D GPIS object representations. Specifically, our method optimizes an approximation to the probability of force closure subject to antipodal constraints on the parallel jaws using Sequential Convex Programming (SCP). We also introduce GPIS-Blur, a method for visualizing 2D GPIS models based on blending shape samples from a GPIS. We test the algorithm on a set of 8 planar objects with transparency, translucency, and specularity. Our experiments suggest that GP-GPIS-OPT computes grasps with higher probability of force closure than a planner that does not consider shape uncertainty on our test objects and may converge to a grasp plan up to 5.7×faster than using Monte-Carlo integration, a common method for grasp planning under shape uncertainty. Furthermore, initial experiments on the Willow Garage PR2 robot suggest that grasps selected with GP-GPIS-OPT are up to 90% more successful than those planned assuming a deterministic shape. Our dataset, code, and videos of our experiments are available at http://rll.berkeley.edu/icra2015grasping/.","1050-4729;10504729","Electronic:978-1-4799-6923-4; POD:978-1-4799-6924-1; USB:978-1-4799-6922-7","10.1109/ICRA.2015.7139882","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7139882","","Approximation methods;Force;Grippers;Sensors;Shape;Three-dimensional displays;Uncertainty","Gaussian processes;approximation theory;convex programming;grippers;mobile robots;probability","2D GPIS object representations;GP-GPIS-OPT;Gaussian process implicit surfaces;RGBD point cloud observations;SCP;Willow Garage PR2 robot;force closure;grasp planning;parallel-jaw grippers;probability;sequential convex programming","","10","","42","","","26-30 May 2015","","IEEE","IEEE Conference Publications"
